name,mean_counts,genre,cluster
Lovely★Complex,0.044421250391399644,"Comedy, Romance, Shoujo",2
InuYasha,0.04302264899279824,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",2
Great Teacher Onizuka,0.04298089969731761,"Comedy, Drama, School, Shounen, Slice of Life",2
Bakemonogatari,0.04268865462895314,"Mystery, Romance, Supernatural, Vampire",2
Kimi ni Todoke,0.04239640956058866,"Romance, School, Shoujo, Slice of Life",2
Lucky☆Star,0.04197891660578228,"Comedy, Parody, School, Slice of Life",2
Claymore,0.041895418014821,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",2
Deadman Wonderland,0.041310927878092055,"Action, Horror, Sci-Fi",2
Hunter x Hunter (2011),0.040914309571025986,"Action, Adventure, Shounen, Super Power",2
Noragami,0.03972445464982778,"Action, Adventure, Shounen, Supernatural",2
Fate/Zero,0.03951570817242459,"Action, Fantasy, Supernatural",2
Final Fantasy VII: Advent Children,0.039411334933722994,"Action, Fantasy, Super Power",2
Kuroshitsuji II,0.039411334933722994,"Action, Comedy, Demons, Fantasy, Shounen, Supernatural",2
Akira,0.03903559127439724,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",2
Rurouni Kenshin: Meiji Kenkaku Romantan,0.038972967331176285,"Action, Adventure, Comedy, Historical, Romance, Samurai",2
Junjou Romantica,0.0386598476150715,"Comedy, Drama, Romance, Shounen Ai",2
Black Lagoon,0.038534599728629576,"Action, Seinen",2
Baccano!,0.038534599728629576,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",2
Chobits,0.038346727898966704,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",2
High School DxD,0.037657864523536165,"Comedy, Demons, Ecchi, Harem, Romance, School",2
D.Gray-man,0.037282120864210413,"Action, Adventure, Comedy, Shounen",2
Cardcaptor Sakura,0.037282120864210413,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",2
Fullmetal Alchemist: The Conqueror of Shamballa,0.03698987579584594,"Comedy, Drama, Fantasy, Historical, Military, Shounen",2
Neon Genesis Evangelion: The End of Evangelion,0.03646800960233796,"Dementia, Drama, Mecha, Psychological, Sci-Fi",2
Hotaru no Haka,0.03617576453397349,"Drama, Historical",2
Nana,0.03584177017012838,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",2
Fate/stay night,0.03582089552238806,"Action, Fantasy, Magic, Romance, Supernatural",2
Guilty Crown,0.03513203214695752,"Action, Drama, Sci-Fi, Super Power",2
Digimon Adventure,0.0350067842605156,"Action, Adventure, Comedy, Fantasy, Kids",2
Yuu☆Yuu☆Hakusho,0.03490241102181401,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",2
Zero no Tsukaima,0.03486066172633337,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",2
Higurashi no Naku Koro ni Kai,0.03448491806700762,"Mystery, Psychological, Supernatural, Thriller",2
Free!,0.03431792088508506,"Comedy, School, Slice of Life, Sports",2
Kiseijuu: Sei no Kakuritsu,0.034297046237344746,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",2
Sakurasou no Pet na Kanojo,0.03271057300908047,"Comedy, Drama, Romance, School, Slice of Life",2
Fate/Zero 2nd Season,0.03237657864523536,"Action, Fantasy, Supernatural, Thriller",2
Ghost in the Shell,0.03233482934975472,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",2
Ookami Kodomo no Ame to Yuki,0.03164596597432418,"Fantasy, Slice of Life",2
Majo no Takkyuubin,0.031625091326583865,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",2
Chuunibyou demo Koi ga Shitai!,0.030852729360192045,"Comedy, Drama, Romance, School, Slice of Life",2
